Latitude,Longitude,名稱,類別,天數,日期,時段,定位用名稱,官方日文名,導航連結
35.6974952,139.7859834,🚉 都營 淺草橋站,🚉 交通,Day 2（親子組）,8/21 星期五,07:10－08:00 🚆 前往東京迪士尼樂園,浅草橋駅,浅草橋駅,"https://www.google.com/maps/search/?api=1&query=35.6974952,139.7859834&query_place_id=ChIJr-AfyrOOGGARWBazD9OfYeg"
35.6361543,139.8838749,🚉 舞濱站,🚉 交通,Day 2（親子組）,8/21 星期五,07:10－08:00 🚆 前往東京迪士尼樂園,舞浜駅,舞浜駅,"https://www.google.com/maps/search/?api=1&query=35.6361543,139.8838749&query_place_id=ChIJU8HXjRF9GGARwy_hGqDRvhE"
35.6328964,139.8803943,⛩️ 東京迪士尼樂園,⛩️ 景點,Day 2（親子組）,8/21 星期五,07:10－08:00 🚆 前往東京迪士尼樂園,東京ディズニーランド,東京ディズニーランド,"https://www.google.com/maps/search/?api=1&query=35.6328964,139.8803943&query_place_id=ChIJszdHEQN9GGARy9MJ1TY22eQ"
35.6356445,139.8779143,⛩️ 東京迪士尼樂園園外公廁,⛩️ 景點,Day 2（親子組）,8/21 星期五,08:00－09:00 🏰 抵達樂園門口排隊與入園,Restroom,Restroom,"https://www.google.com/maps/search/?api=1&query=35.6356445,139.8779143&query_place_id=ChIJ0-5-SxR9GGARwTYJ_2HR2Xs"
35.6312777,139.8777727,⛩️ 森林劇院,⛩️ 景點,Day 2（親子組）,8/21 星期五,09:00－17:00 🎢 動態遊玩主時段（遊樂設施極大化）,ファンタジーランド・フォレストシアター,ファンタジーランド・フォレストシアター,"https://www.google.com/maps/search/?api=1&query=35.6312777,139.8777727&query_place_id=ChIJCRE2shF9GGARWEzVE8BxiPk"
35.6312777,139.8777727,⛩️ 米奇魔法音樂世界,⛩️ 景點,Day 2（親子組）,8/21 星期五,09:00－17:00 🎢 動態遊玩主時段（遊樂設施極大化）,ミッキーのマジカルミュージックワールド,ミッキーのマジカルミュージックワールド,"https://www.google.com/maps/search/?api=1&query=35.6312777,139.8777727&query_place_id=ChIJCRE2shF9GGARWEzVE8BxiPk"
35.6312281,139.8819030,⛩️ 幽靈公館,⛩️ 景點,Day 2（親子組）,8/21 星期五,17:00 🌈 日間遊行「迪士尼眾彩交融」 (ディズニー・ハーモニー・イン・カラー)｜OPTION,ホーンテッドマンション,ホーンテッドマンション,"https://www.google.com/maps/search/?api=1&query=35.6312281,139.8819030&query_place_id=ChIJCTVrnhB9GGARGATO9WeW0NE"
35.6341151,139.8815492,⛩️ 奧爾良劇場,⛩️ 景點,Day 2（親子組）,8/21 星期五,💃 跳跳熱舞 (ジャンボリミッキー！レッツ・ダンス！)｜OPTION,シアターオーリンズ,シアターオーリンズ,"https://www.google.com/maps/search/?api=1&query=35.6341151,139.8815492&query_place_id=ChIJxeUaFhF9GGARy1fbZhwja0M"
35.6321136,139.8808623,⛩️ 灰姑娘城堡,⛩️ 景點,Day 2（親子組）,8/21 星期五,18:15－18:30 💡 夜間遊行「夢之光」免費卡位,シンデレラ城,シンデレラ城,"https://www.google.com/maps/search/?api=1&query=35.6321136,139.8808623&query_place_id=ChIJddVMuXN9GGARaS2CaOt1GUY"
35.6328964,139.8803943,⛩️ 城堡前廣場,⛩️ 景點,Day 2（親子組）,8/21 星期五,18:15－18:30 💡 夜間遊行「夢之光」免費卡位,プラザ,プラザ,"https://www.google.com/maps/search/?api=1&query=35.6328964,139.8803943&query_place_id=ChIJszdHEQN9GGARy9MJ1TY22eQ"
