Latitude,Longitude,名稱,類別,天數,日期,時段,定位用名稱,官方日文名,導航連結
35.6974952,139.7859834,🚉 JR 淺草橋站,🚉 交通,Day 2（長輩組）,8/21 星期五,09:00－09:25 🚇 前往上野,浅草橋駅,浅草橋駅,"https://www.google.com/maps/search/?api=1&query=35.6974952,139.7859834&query_place_id=ChIJr-AfyrOOGGARWBazD9OfYeg"
35.6983830,139.7730717,🚉 秋葉原站,🚉 交通,Day 2（長輩組）,8/21 星期五,09:00－09:25 🚇 前往上野,秋葉原駅,秋葉原駅,"https://www.google.com/maps/search/?api=1&query=35.698383,139.7730717&query_place_id=ChIJKTP54qeOGGARsZf1fyU2jxU"
35.7141672,139.7774091,🚉 JR 上野站,🚉 交通,Day 2（長輩組）,8/21 星期五,09:00－09:25 🚇 前往上野,上野駅,上野駅,"https://www.google.com/maps/search/?api=1&query=35.7141672,139.7774091&query_place_id=ChIJCwbTk56OGGARRJJPe22ziWw"
35.7121418,139.7710956,⛩️ 不忍池,⛩️ 景點,Day 2（長輩組）,8/21 星期五,09:25－11:00 🌿 晨間不忍池與清水觀音堂散步,不忍池 弁天堂,不忍池 弁天堂,"https://www.google.com/maps/search/?api=1&query=35.7121418,139.7710956&query_place_id=ChIJd9rFFieMGGAR0zV_avi5q-8"
35.7126261,139.7735665,⛩️ 清水觀音堂,⛩️ 景點,Day 2（長輩組）,8/21 星期五,09:25－11:00 🌿 晨間不忍池與清水觀音堂散步,清水観音堂,清水観音堂,"https://www.google.com/maps/search/?api=1&query=35.7126261,139.7735665&query_place_id=ChIJ9Rg_5Z2OGGAR40HN7lsM5_U"
35.7120436,139.7730597,⛩️ 池之端辨天前公廁,⛩️ 景點,Day 2（長輩組）,8/21 星期五,09:25－11:00 🌿 晨間不忍池與清水觀音堂散步,池之端辨天前公衆トイレ,池之端辨天前公衆トイレ,"https://www.google.com/maps/search/?api=1&query=35.7120436,139.7730597&query_place_id=ChIJfREncwCPGGARi0OEsyiWRjw"
35.7125410,139.7773730,⛩️ 松屋,⛩️ 景點,Day 2（長輩組）,8/21 星期五,11:00－11:10 🚶‍♂️ 走回上野站浅草口,松屋 上野浅草口店,松屋 上野浅草口店,"https://www.google.com/maps/search/?api=1&query=35.712541,139.777373&query_place_id=ChIJm6bhuZ6OGGARPMoVjXV14NY"
35.7124103,139.7778238,🍜 吉野家,🍜 餐廳,Day 2（長輩組）,8/21 星期五,11:10－12:25 🍽️ 午餐：松屋 / 吉野家,吉野家 上野駅前店,吉野家 上野駅前店,"https://www.google.com/maps/search/?api=1&query=35.7124103,139.7778238&query_place_id=ChIJ2ctgyp6OGGARGZaEvjKB-UY"
35.7153869,139.7758138,⛩️ 國立西洋美術館,⛩️ 景點,Day 2（長輩組）,8/21 星期五,12:25－12:35 🚶‍♂️ 步行前往國立西洋美術館,国立西洋美術館,国立西洋美術館,"https://www.google.com/maps/search/?api=1&query=35.7153869,139.7758138&query_place_id=ChIJf8xB-pyOGGARizzhlNTcI7s"
35.7144707,139.7751315,⛩️ 東京文化會館,⛩️ 景點,Day 2（長輩組）,8/21 星期五,15:05－15:25 🌳 美術館戶外庭園,東京文化会館,東京文化会館,"https://www.google.com/maps/search/?api=1&query=35.7144707,139.7751315&query_place_id=ChIJRRISsp2OGGARTNMhXv2t-BQ"
